#systematic_name	gene_name	transcript_clusters
NA	DPEP1	TC16000701.hg.1
NA	PRKACG	TC09001191.hg.1
NA	LZTS2	TC10000730.hg.1
NA	MDM4	TC01001700.hg.1,TC01004964.hg.1
NA	CEMIP	TC15000752.hg.1
NA	HK3	TC05002100.hg.1
NA	EIF3H	TC08001545.hg.1
NA	PRDX1	TC01002611.hg.1
NA	CNTN4	TC03000007.hg.1
NA	UNC5B	TC10002117.hg.1,TC10000438.hg.1
NA	TPO	TC02000013.hg.1
NA	TTK	TC06000761.hg.1
NA	GNB1	TC01006298.hg.1
NA	POLK	TC05000364.hg.1
NA	GATA2	TC03001755.hg.1
NA	GAPDH	TC12002203.hg.1,TC12000084.hg.1
NA	RASA1	TC05002492.hg.1,TC05000431.hg.1
NA	SLC22A3	TC06001156.hg.1
NA	MIRLET7A1	TC09000456.hg.1
NA	MCM7	TC07001654.hg.1
NA	MIR29B1	TC07001870.hg.1
NA	FZD2	TC17000571.hg.1
NA	THPO	TC03002070.hg.1,TC03003247.hg.1
NA	MPL	TC01000544.hg.1
NA	APOD	TC03002146.hg.1
NA	PPP1R13L	TC19001619.hg.1
NA	XAF1	TC17000077.hg.1,TC17002461.hg.1
NA	NRP2	TC02001206.hg.1,TC02004790.hg.1
NA	PON1	TC07003363.hg.1
NA	HDAC3	TC05003274.hg.1,TC05001871.hg.1
NA	FKBP5	TC06004150.hg.1
NA	NGFR	TC17000645.hg.1
NA	CALB2	TC16001621.hg.1,TC16000589.hg.1
NA	GNB2	TC07000630.hg.1
NA	TRIM28	TC19000971.hg.1
NA	G6PD	TC0X001538.hg.1,TC0X002294.hg.1
NA	ADCY9	TC16000824.hg.1
NA	CTNNBIP1	TC01002187.hg.1,TC01005260.hg.1
NA	CHFR	TC12003217.hg.1
NA	AMFR	TC16001132.hg.1
NA	UBE2C	TC20000357.hg.1
NA	MYO1B	TC02001126.hg.1
NA	LGR6	TC01001673.hg.1
NA	MIR375	TC02002784.hg.1
NA	ATF3	TC01001777.hg.1
NA	HAT1	TC02001024.hg.1,TC02003690.hg.1
NA	CLOCK	TC04001212.hg.1,TC04002556.hg.1,TC04001211.hg.1
NA	GHRL	TC03001158.hg.1,TC03002800.hg.1
NA	CUX1	TC07000650.hg.1,TC07002501.hg.1
NA	SLC44A4	TC6_apd_hap1000090.hg.1,TC06001549.hg.1,TC6_dbb_hap3000165.hg.1,TC6_mann_hap4000147.hg.1,TC6_ssto_hap7000145.hg.1,TC6_qbl_hap6000166.hg.1,TC6_mcf_hap5000151.hg.1,TC6_cox_hap2000176.hg.1
NA	MYB	TC06003070.hg.1,TC06003069.hg.1,TC06001010.hg.1
NA	ELF3	TC01001670.hg.1,TC01006041.hg.1
NA	AGER	TC6_mann_hap4000152.hg.1,TC6_qbl_hap6000176.hg.1,TC6_apd_hap1000095.hg.1,TC6_cox_hap2000187.hg.1,TC06003599.hg.1,TC06004049.hg.1,TC6_ssto_hap7000156.hg.1,TC6_mcf_hap5000162.hg.1
NA	IL13	TC05000640.hg.1
NA	EIF5A2	TC03001995.hg.1
NA	JAK3	TC19001280.hg.1
NA	MUC20	TC03003365.hg.1
NA	CCAR1	TC10000408.hg.1
NA	ANTXR1	TC02000403.hg.1
NA	IL11	TC19001870.hg.1
NA	CD276	TC15002271.hg.1,TC15000667.hg.1
NA	PLG	TC06001158.hg.1
NA	ERGIC3	TC20000255.hg.1
NA	CXCR2	TC02003831.hg.1,TC02001292.hg.1
NA	ADORA1	TC01001683.hg.1
NA	WNT9B	TC17000601.hg.1
NA	SERPINB2	TC18000231.hg.1
NA	PTGES	TC09001653.hg.1
NA	CCNE2	TC08001438.hg.1
NA	CD151	TC11000034.hg.1
NA	F2RL1	TC05000372.hg.1
NA	MIR205	TC01001747.hg.1
NA	TAP1	TC6_mann_hap4000167.hg.1,TC6_dbb_hap3000185.hg.1,TC6_apd_hap1000105.hg.1,TC6_mcf_hap5000174.hg.1,TC6_cox_hap2000199.hg.1,TC6_ssto_hap7000169.hg.1,TC06001574.hg.1,TC6_qbl_hap6000187.hg.1
NA	ASAP3	TC01002343.hg.1
NA	MIR200A	TC01000028.hg.1
NA	IGFBP4	TC17000499.hg.1
NA	MIR141	TC12000104.hg.1
NA	HOTAIR	TC12001557.hg.1
NA	VWF	TC12001130.hg.1
NA	RAC2	TC22000725.hg.1
NA	CD28	TC02001199.hg.1
NA	XRCC4	TC05000411.hg.1
NA	ZNF385D	TC03001233.hg.1
NA	ADARB2	TC10002389.hg.1,TC10000969.hg.1
NA	DSCAML1	TC11002337.hg.1
NA	CXCL10	TC04001305.hg.1
NA	CHI3L1	TC01003718.hg.1
NA	ANPEP	TC15001837.hg.1
NA	H2AFX	TC11002362.hg.1
NA	FCGR3A	TC01006307.hg.1
NA	NUMA1	TC11002049.hg.1
NA	CHL1	TC03000002.hg.1
NA	MMP10	TC11002233.hg.1
NA	CXCL14	TC05001804.hg.1
NA	VCAM1	TC01000904.hg.1
NA	TRPV6	TC07002641.hg.1,TC07001963.hg.1,TC07003214.hg.1
NA	ATF1	TC12000397.hg.1
NA	POT1	TC07001830.hg.1,TC07003148.hg.1
NA	MYD88	TC03000187.hg.1
NA	CTNND2	TC05001166.hg.1
NA	APP	TC21000887.hg.1,TC21000340.hg.1
NA	CD46	TC01001741.hg.1
NA	SATB1	TC03003338.hg.1
NA	MGAT5	TC02000874.hg.1,TC02003597.hg.1
NA	ACVR1B	TC12002883.hg.1,TC12000411.hg.1
NA	SCT	TC11001243.hg.1
NA	TSPO	TC22000362.hg.1
NA	SIL1	TC05003258.hg.1,TC05001837.hg.1
NA	FCGR2A	TC01001399.hg.1
NA	AKAP6	TC14000208.hg.1
NA	PTPRG	TC03000384.hg.1
NA	CCR5	TC03000256.hg.1
NA	SETDB1	TC01001194.hg.1
NA	ADCY1	TC07000283.hg.1
NA	GNG5	TC01002818.hg.1
NA	GNG2	TC14000303.hg.1
NA	LAPTM4B	TC08000597.hg.1
NA	IL13RA2	TC0X001290.hg.1
NA	GLI2	TC02003538.hg.1,TC02000764.hg.1
NA	PRIMA1	TC14001459.hg.1
NA	TLR6	TC04002917.hg.1
NA	SRPX2	TC0X000469.hg.1
NA	MIR34C	TC11000995.hg.1
NA	MUC15	TC11001505.hg.1
NA	CCDC6	TC10001317.hg.1,TC10002663.hg.1
NA	GZMB	TC14000982.hg.1
NA	NGF	TC01003018.hg.1
NA	MIR34B	TC11000995.hg.1
NA	LDB1	TC10001617.hg.1
NA	STARD13	TC13000555.hg.1
NA	CCDC62	TC12002628.hg.1,TC12000978.hg.1
NA	MIR605	TC10000348.hg.1
NA	JAG1	TC20000621.hg.1,TC20001421.hg.1
NA	WNT4	TC01002330.hg.1,TC01005318.hg.1
NA	SLIT2	TC04000158.hg.1
NA	DNAJC27	TC02001654.hg.1
NA	BMP1	TC08001833.hg.1,TC08000167.hg.1
NA	CRNDE	TC16001125.hg.1
NA	MUC13	TC03001719.hg.1
NA	RBBP4	TC01000433.hg.1
NA	CUL1	TC07000969.hg.1
NA	IL6ST	TC05001366.hg.1
NA	ACTN4	TC19000532.hg.1
NA	CXCL5	TC04002588.hg.1,TC04001283.hg.1
NA	HSD17B2	TC16000645.hg.1
NA	TNFRSF10C	TC08000180.hg.1
NA	MICA	TC06002423.hg.1,TC06004073.hg.1,TC6_qbl_hap6000238.hg.1,TC6_ssto_hap7000188.hg.1,TC6_mann_hap4000215.hg.1,TC6_cox_hap2000234.hg.1
NA	ACACA	TC17002601.hg.1,TC17001406.hg.1
NA	PIK3R4	TC03001778.hg.1
NA	SIX1	TC14001188.hg.1
NA	PSMD10	TC0X002181.hg.1,TC0X001266.hg.1
NA	MIR16-1	TC13000668.hg.1,TC13001498.hg.1
NA	CIB1	TC15001842.hg.1
NA	SPHK1	TC17000872.hg.1
NA	CD86	TC03000626.hg.1
NA	HP	TC16002058.hg.1,TC16002057.hg.1
NA	VTCN1	TC01003035.hg.1,TC01005736.hg.1
NA	GNG12	TC01002760.hg.1
NA	GNG8	TC19001651.hg.1
NA	GNGT2	TC17001660.hg.1
NA	ADCY5	TC03001710.hg.1
NA	MIR199A1	TC19001173.hg.1
NA	KDM6A	TC0X000212.hg.1
NA	PCSK2	TC20000108.hg.1
NA	HSD17B3	TC09001372.hg.1
NA	INHBA	TC07001318.hg.1
NA	DDX5	TC17001800.hg.1
NA	SORL1	TC11002916.hg.1,TC11001107.hg.1
NA	PROX1	TC01001788.hg.1
NA	ADRBK1	TC11000682.hg.1
NA	TFAP2A	TC06001260.hg.1
NA	LPAR3	TC01002823.hg.1
NA	ING3	TC07000734.hg.1
NA	SOCS3	TC17001917.hg.1
NA	UGT1A	
NA	CNR1	TC06001932.hg.1,TC06003758.hg.1
NA	CD93	TC20000703.hg.1
NA	MIR224	
NA	CDA	TC01000261.hg.1
NA	SCN3B	TC11002396.hg.1
NA	RNF182	TC06000097.hg.1
NA	KRT73	TC12001530.hg.1
NA	SH3TC1	TC04000086.hg.1
NA	SHANK1	TC19002552.hg.1,TC19001752.hg.1
NA	ATP11C	TC0X001429.hg.1
NA	EDRF1	TC10000912.hg.1
NA	GJD4	TC10000241.hg.1,TC10002559.hg.1
NA	ZNF442	TC19001197.hg.1,TC19001189.hg.1
NA	EXOC4	TC07000829.hg.1,TC07000830.hg.1
NA	MAP1B	TC05002434.hg.1,TC05000336.hg.1
NA	NCDN	TC01000458.hg.1
NA	PHIP	TC06003728.hg.1,TC06001895.hg.1
NA	GUCY1A2	TC11003325.hg.1,TC11002258.hg.1
NA	KCNQ5	TC06000728.hg.1
NA	ACTL9	TC19001137.hg.1
NA	NPAP1	TC15000042.hg.1
NA	TTLL3	TC03003344.hg.1,TC03002798.hg.1,TC03002211.hg.1
NA	CYB5D2	TC17000038.hg.1
NA	DNAH3	TC16000932.hg.1
NA	NUPR1	TC16000989.hg.1
NA	ROR2	TC09001326.hg.1
NA	MAPK7	TC17000237.hg.1
NA	NR4A1	TC12000414.hg.1
NA	RPS12	TC06000996.hg.1
NA	BCL2L2	TC14002291.hg.1,TC14001595.hg.1
NA	L1CAM	TC0X002307.hg.1
NA	BTRC	TC10002257.hg.1,TC10000738.hg.1
NA	PRR5	TC22000376.hg.1
NA	RALB	TC02000760.hg.1
NA	MIR133B	TC06000651.hg.1
NA	VEGFB	TC11000589.hg.1
NA	TIGAR	TC12000061.hg.1
NA	RAD17	TC05000302.hg.1
NA	CA2	TC08000531.hg.1
NA	AKR1B10	TC07002600.hg.1,TC07000834.hg.1
NA	HES1	TC03001071.hg.1,TC03002732.hg.1
NA	MIR182	TC07001854.hg.1
NA	RIPK1	TC06000023.hg.1
NA	MAP2K6	TC17000807.hg.1
NA	HNRNPK	TC09001284.hg.1
NA	DCN	TC12001804.hg.1,TC12001805.hg.1
NA	CNTN1	TC12002318.hg.1,TC12000311.hg.1
NA	SLC16A1	TC01003001.hg.1
NA	SEZ6L2	TC16001012.hg.1
NA	MYL6	TC12003245.hg.1
NA	MACROD1	TC11001898.hg.1
NA	HLA-DQB1	TC06003603.hg.1,TC06003411.hg.1,TC6_cox_hap2000195.hg.1,TC06002726.hg.1,TC06003415.hg.1,TC06003423.hg.1,TC6_mcf_hap5000170.hg.1,TC6_dbb_hap3000181.hg.1,TC6_ssto_hap7000165.hg.1,TC06003422.hg.1,TC06003409.hg.1,TC6_qbl_hap6000183.hg.1,TC6_mann_hap4000163.hg.1,TC06001570.hg.1
NA	NEDD9	TC06001273.hg.1
NA	TUBB2A	TC06001226.hg.1
NA	BMP7	TC20000972.hg.1
NA	CACYBP	TC01001526.hg.1
NA	CCL20	TC02001364.hg.1
NA	TCOF1	TC05000830.hg.1
NA	HSP90AB1	TC06000615.hg.1
NA	IL12A	TC03000870.hg.1
NA	CTBP2	TC10001732.hg.1
NA	NDC80	TC18000009.hg.1
NA	ANGPT1	TC08001521.hg.1
NA	RICTOR	TC05001294.hg.1
NA	MMP26	TC11000099.hg.1
NA	PSAT1	TC09000358.hg.1
NA	STC1	TC08001062.hg.1
NA	MIR125B2	TC21000043.hg.1
NA	PDK1	TC02001031.hg.1
NA	CD14	TC05001861.hg.1
NA	SPINT2	TC19002475.hg.1,TC19000522.hg.1
NA	RBP1	TC03001834.hg.1,TC03003114.hg.1
NA	CD79A	TC19000588.hg.1
NA	RCN1	TC11000304.hg.1
NA	MYH1	TC17001133.hg.1
NA	ZNF146	TC19000497.hg.1
NA	WISP1	TC08000770.hg.1,TC08002114.hg.1
NA	RPS27A	TC02000321.hg.1,TC12002099.hg.1
NA	WNT8A	TC05000695.hg.1
NA	ROS1	TC06004055.hg.1
NA	AKAP3	TC12001124.hg.1
NA	PRDX5	TC11000597.hg.1
NA	LPAR1	TC09001478.hg.1
NA	RBM10	TC0X000227.hg.1
NA	GGH	TC08001269.hg.1
NA	STC2	TC05002075.hg.1
NA	GHR	TC05002347.hg.1,TC05000191.hg.1,TC05000192.hg.1
NA	RPS10	TC06004130.hg.1
NA	SEPP1	TC05001310.hg.1
NA	RARS	TC05000919.hg.1
NA	SEPT9	TC17000885.hg.1
NA	AMER1	TC0X001095.hg.1
NA	CA12	TC15001541.hg.1
NA	IL16	TC15000756.hg.1
NA	EHMT2	TC06001550.hg.1,TC6_apd_hap1000091.hg.1,TC6_dbb_hap3000166.hg.1,TC6_qbl_hap6000167.hg.1,TC6_mcf_hap5000152.hg.1,TC6_cox_hap2000177.hg.1,TC6_ssto_hap7000146.hg.1
NA	CCNG2	TC04000431.hg.1,TC04002080.hg.1
NA	NMB	TC15001787.hg.1
NA	EPDR1	TC07003323.hg.1
NA	ADCY7	TC16000439.hg.1
NA	GNB5	TC15001453.hg.1
NA	ADCY6	TC12002863.hg.1,TC12001457.hg.1
NA	ADCY3	TC02001653.hg.1
NA	ADCY4	TC14002316.hg.1
NA	GNG11	TC07000556.hg.1
NA	GNG3	TC11000561.hg.1
NA	GNG13	TC16000741.hg.1
NA	GNG10	
NA	GNGT1	TC07000553.hg.1
NA	GNG4	TC01003995.hg.1,TC01006217.hg.1
NA	BRF1	TC14001566.hg.1
NA	CEBPB	TC20000399.hg.1,TC20001277.hg.1
NA	ABCC11	TC16001094.hg.1
NA	CCAT2	
NA	TAGLN	TC11001049.hg.1,TC11002894.hg.1
NA	MT-ND4L	
NA	FSTL5	TC04001696.hg.1
NA	GPR87	TC03001905.hg.1
NA	VPS13A	TC09000354.hg.1
NA	TSKS	TC19001723.hg.1
NA	IFITM1	TC11000011.hg.1
NA	MIR195	TC17001072.hg.1
NA	RPS6	TC09000938.hg.1
NA	ACP1	TC02000002.hg.1,TC02002966.hg.1
NA	PTPN13	TC04000469.hg.1,TC04002094.hg.1
NA	MIR135B	TC01003748.hg.1
NA	SLC22A9	TC11000570.hg.1
NA	SCNN1B	TC16001455.hg.1,TC16000254.hg.1
NA	ARAP3	TC05001872.hg.1
NA	NLRP8	TC19000914.hg.1
NA	DIP2C	TC10001796.hg.1,TC10000961.hg.1
NA	TLR8	TC0X000052.hg.1
NA	PRKAR2B	TC07000688.hg.1
NA	RPS29	TC14001098.hg.1,TC14001100.hg.1
NA	CYP11A1	TC15001642.hg.1,TC15002624.hg.1
NA	TPMT	TC06001301.hg.1
NA	MUC17	TC07002495.hg.1,TC07002496.hg.1,TC07000640.hg.1
NA	ID2	TC02000041.hg.1
NA	RINT1	TC07000682.hg.1
NA	SOX7	TC08002610.hg.1
NA	TLR1	TC04002916.hg.1
NA	MSN	TC0X000353.hg.1,TC0X000352.hg.1
NA	RPS9	TC19000875.hg.1,TC19002231.hg.1
NA	JAKMIP1	TC04001000.hg.1
NA	LMNB2	TC19001030.hg.1
NA	SKIV2L	TC6_cox_hap2000083.hg.1,TC6_ssto_hap7000067.hg.1,TC6_qbl_hap6000075.hg.1,TC6_mcf_hap5000066.hg.1,TC06000389.hg.1,TC6_dbb_hap3000074.hg.1
NA	RBL2	TC16000448.hg.1
NA	TWIST2	TC02001458.hg.1
NA	ALOX15B	TC17000124.hg.1
NA	DSC3	TC18000435.hg.1
NA	LEFTY2	TC01003895.hg.1,TC12002413.hg.1
NA	STRA6	TC15001641.hg.1
NA	MIR20A	TC13000322.hg.1
NA	MIR100	TC11002385.hg.1
NA	MIR210	TC11001239.hg.1
NA	C2orf68	TC02002045.hg.1
NA	SMAD1	TC04000712.hg.1,TC04000711.hg.1
NA	COPS5	TC08002585.hg.1
NA	GC	TC04001274.hg.1
NA	ACRBP	TC12003270.hg.1
NA	HSPG2	TC01002328.hg.1
NA	PRG2	TC11003481.hg.1
NA	MAPK6	TC15000417.hg.1
NA	XRRA1	TC11002087.hg.1
NA	NPRL2	TC03001431.hg.1
NA	SLPI	TC20000876.hg.1
NA	ADGRE5	TC19000256.hg.1
NA	PRKAR1B	TC07001075.hg.1,TC07001074.hg.1
NA	PEG3	TC19001892.hg.1
NA	NCAPG	TC04000155.hg.1
NA	MIR133A1	TC18000404.hg.1
NA	KAT5	TC11000640.hg.1
NA	TLR10	TC04001123.hg.1
NA	CD55	TC01001736.hg.1
NA	THRB	TC03001241.hg.1
NA	MIR96	TC07001855.hg.1
NA	PCDH10	TC04000664.hg.1,TC04000663.hg.1,TC04002208.hg.1
NA	FGF9	TC13000037.hg.1
NA	REST	TC04000335.hg.1
NA	SEPT4	TC17001735.hg.1,TC17002727.hg.1
NA	KALRN	TC03002504.hg.1,TC03000642.hg.1,TC03002503.hg.1
NA	PPM1F	TC22000548.hg.1
NA	FOSL1	TC11001948.hg.1
NA	ZNHIT6	TC01002831.hg.1
NA	POU5F1B	TC08001630.hg.1,TC08000748.hg.1
NA	PTGES2	TC09002805.hg.1,TC09001623.hg.1
NA	IL7	TC08001350.hg.1
NA	PLAT	TC08002306.hg.1,TC08001175.hg.1
NA	LPAR2	TC19001305.hg.1
NA	RBBP7	TC0X000886.hg.1
NA	ARHGEF12	TC11001102.hg.1
NA	ZNF135	TC19002264.hg.1,TC19000955.hg.1,TC19002265.hg.1
NA	CKS1B	TC01004760.hg.1,TC01001280.hg.1
NA	PRNCR1	
NA	BCL3	TC19000627.hg.1
NA	TRIM24	TC07000868.hg.1
NA	MAL	TC02000567.hg.1,TC02004407.hg.1
NA	ADIPOR2	TC12000018.hg.1
NA	MIR214	TC01003519.hg.1
NA	DACH1	TC13001567.hg.1,TC13000722.hg.1
NA	TNKS	TC08000069.hg.1
NA	DROSHA	TC05001223.hg.1
NA	PRKAB1	TC12000936.hg.1
NA	RETN	TC19000133.hg.1
NA	MST1	TC01000212.hg.1,TC01002278.hg.1,TC03001414.hg.1
NA	CASP5	TC11003322.hg.1,TC11002247.hg.1
NA	EHMT1	TC09000852.hg.1
NA	PYCARD	TC16001052.hg.1
NA	CBFB	TC16000528.hg.1
NA	PRNP	TC20000051.hg.1
NA	SERPINF1	TC17000015.hg.1
NA	MTUS1	TC08001013.hg.1,TC08002241.hg.1
NA	CASC2	TC10000856.hg.1,TC10002315.hg.1
NA	PRKAR2A	TC03001389.hg.1
NA	ADM	TC11000182.hg.1
NA	HNRNPA1	TC12000461.hg.1
NA	ST3GAL3	TC01000550.hg.1
NA	MIR18A	TC13000322.hg.1
NA	LLGL1	TC17000208.hg.1
NA	RRM2B	TC08001496.hg.1
NA	SMUG1	TC12002902.hg.1,TC12001565.hg.1
NA	DRD2	TC11002302.hg.1
NA	TERF2	TC16001222.hg.1
NA	HPRT1	TC0X001874.hg.1,TC0X000636.hg.1
NA	CYLD	TC16000443.hg.1
NA	KCNH2	TC07002024.hg.1
NA	CCAR2	TC08001835.hg.1,TC08002250.hg.1,TC08000175.hg.1
NA	TUSC3	TC08000119.hg.1,TC08001811.hg.1
NA	PTPRN2	TC07002077.hg.1
NA	PSMC5	TC17000772.hg.1
NA	MIR9-1	TC01003339.hg.1
NA	CALR	TC19000232.hg.1
NA	AGO2	TC08002130.hg.1,TC08001684.hg.1
NA	AKR1A1	TC01000574.hg.1
NA	WISP3	TC06000894.hg.1
NA	MIR149	TC02001465.hg.1
NA	LOXL2	TC08002613.hg.1
NA	MIR30A	TC06001862.hg.1
NA	MSI1	TC12002043.hg.1,TC12003123.hg.1
NA	GSR	TC08001110.hg.1
NA	CP	TC03001884.hg.1
NA	ACTB	TC07002773.hg.1,TC07002772.hg.1,TC07001120.hg.1
NA	CAPN5	TC11000827.hg.1
NA	CDH5	TC16000514.hg.1
NA	LIN28A	TC01000343.hg.1
NA	PTK7	TC06003652.hg.1,TC06000595.hg.1
NA	IL36A	TC02000716.hg.1
NA	HOXB6	TC17002910.hg.1
NA	CHSY1	TC15002005.hg.1
NA	MIR128-1	TC02000882.hg.1
NA	PTPN1	TC20000403.hg.1
NA	CD8A	TC02004386.hg.1,TC02002059.hg.1
NA	S100A11	TC01003240.hg.1
NA	MYBL2	TC20000320.hg.1
NA	GATA6	TC18000094.hg.1,TC18000864.hg.1
NA	TAC1	TC07002473.hg.1,TC07000579.hg.1
NA	SCGB2A1	TC11000548.hg.1
NA	COL7A1	TC03001383.hg.1,TC03001382.hg.1
NA	MECOM	TC03001979.hg.1,TC03003201.hg.1
NA	MIR19A	TC13000322.hg.1
NA	CD248	TC11001962.hg.1
NA	FRA3B	
NA	IL23R	TC01004453.hg.1,TC01000739.hg.1
NA	KISS1R	TC19000022.hg.1
NA	PIWIL1	TC12001034.hg.1
NA	ALPPL2	TC02001399.hg.1
NA	MIR150	TC19001718.hg.1
NA	SAGE1	TC0X000655.hg.1
NA	TMEM8B	TC09000196.hg.1
NA	GRK6	TC05001015.hg.1
NA	MLC1	TC22000907.hg.1
NA	DKK4	TC08001178.hg.1
NA	LDHB	TC12001298.hg.1
NA	FGF23	TC12001120.hg.1
NA	HSPA1A	TC06001547.hg.1,TC6_cox_hap2000079.hg.1,TC6_dbb_hap3000070.hg.1,TC6_qbl_hap6000070.hg.1,TC6_qbl_hap6000164.hg.1,TC6_apd_hap1000039.hg.1,TC6_dbb_hap3000163.hg.1,TC6_dbb_hap3000069.hg.1,TC06002463.hg.1,TC6_qbl_hap6000069.hg.1,TC06000384.hg.1,TC06002474.hg.1,TC06000385.hg.1,TC6_cox_hap2000174.hg.1,TC6_cox_hap2000078.hg.1,TC6_apd_hap1000040.hg.1,TC6_apd_hap1000088.hg.1
NA	CGB3	
NA	MIR183	TC07001856.hg.1
NA	MIR29C	TC01003775.hg.1
NA	MIR26A1	TC03000183.hg.1
NA	PTPN6	TC12000101.hg.1
NA	S100B	TC21000559.hg.1
NA	STK4	TC20001234.hg.1,TC20000339.hg.1
NA	PAK4	TC19000537.hg.1
NA	SLCO1A2	TC12001295.hg.1
NA	NEK2	TC01003798.hg.1,TC01006091.hg.1
NA	APCDD1	TC18000051.hg.1
NA	MYLK	TC03001713.hg.1,TC03003057.hg.1,TC03003056.hg.1
NA	VTN	TC17001296.hg.1
NA	IHH	TC02002786.hg.1
NA	BRS3	TC0X000660.hg.1
NA	KLK11	TC19001768.hg.1
NA	GSTA2	TC06001802.hg.1
NA	MIR499A	TC20000247.hg.1
NA	UGT2B15	TC4_ctg9_hap1000004.hg.1,TC04001261.hg.1
NA	ZMYND10	TC03001430.hg.1
NA	PKN1	TC19000257.hg.1
NA	CFTR	TC07002542.hg.1,TC07000726.hg.1,TC07000727.hg.1
NA	EIF4G1	TC03001000.hg.1,TC03002693.hg.1
NA	B4GALNT2	TC17002262.hg.1,TC17000638.hg.1
NA	RPL6	TC12001979.hg.1,TC12003091.hg.1
NA	DSTN	TC20000109.hg.1
NA	TFEC	TC07001779.hg.1
NA	SIGLEC7	TC19000773.hg.1
NA	PTMA	TC02003886.hg.1,TC02001394.hg.1
NA	SPAG9	TC17001700.hg.1,TC17001701.hg.1
NA	TNNI3K	TC01000769.hg.1
NA	NAA15	TC04000683.hg.1
NA	LDLR	TC19000191.hg.1
NA	MMRN2	TC10001482.hg.1
NA	HAPLN1	TC05001557.hg.1,TC05003123.hg.1,TC05003122.hg.1
NA	PRKCDBP	TC11001354.hg.1
NA	CCNB3	TC0X000288.hg.1,TC0X001706.hg.1
NA	LIF	TC22000647.hg.1
NA	CSF3R	TC01002512.hg.1
NA	MIR99A	TC21000041.hg.1
NA	STAT6	TC12001620.hg.1,TC12002913.hg.1
NA	IL13RA1	TC0X000575.hg.1
NA	MIR139	TC11002060.hg.1
NA	MFN1	TC03000953.hg.1
NA	RHPN2	TC19001394.hg.1
NA	ROCK2	TC02001576.hg.1
NA	ARNT	TC01003212.hg.1
NA	NFATC1	TC18000263.hg.1
NA	MIR1-1	TC20000492.hg.1
NA	BMPR2	TC02001192.hg.1
NA	NNMT	TC11001027.hg.1
NA	SULT1A2	TC16000990.hg.1
NA	SEMA3F	TC03000303.hg.1
NA	MGLL	TC03001750.hg.1
NA	TPD52	TC08002617.hg.1
NA	DES	TC02001326.hg.1
NA	FAM3C	TC07001808.hg.1
NA	SUZ12	TC17000369.hg.1
NA	LINC01194	TC05000080.hg.1
NA	FHL2	TC02002167.hg.1
NA	LTF	TC03001357.hg.1
NA	DUSP1	TC05002066.hg.1
NA	PPARGC1A	TC04001084.hg.1
NA	THY1	TC11002371.hg.1,TC11003382.hg.1
NA	MIR25	TC07001655.hg.1
NA	IL22	TC12001698.hg.1,TC12002949.hg.1
NA	MIR137	TC01002905.hg.1
NA	DUSP19	TC02001092.hg.1
NA	SLC6A4	TC17001326.hg.1
NA	GRIK3	TC01002513.hg.1
NA	KRTAP10-8	TC21000232.hg.1
NA	ACAP1	TC17000089.hg.1
NA	SELP	TC01003499.hg.1
NA	LYN	TC08000383.hg.1
NA	LAMB1	TC07001747.hg.1
NA	BOK	TC02001481.hg.1
NA	ISG15	TC01000023.hg.1
NA	PDCD1	TC02002960.hg.1
NA	SNRNP200	TC02002106.hg.1
NA	CXCR1	TC02002767.hg.1
NA	TBX1	TC22000049.hg.1
NA	LRP2	TC02002509.hg.1
NA	KDM1A	TC01000292.hg.1
NA	FXYD5	TC19000461.hg.1,TC19002097.hg.1
NA	IL23A	TC07001955.hg.1,TC07002634.hg.1,TC07000915.hg.1,TC07000912.hg.1,TC07000913.hg.1,TC07000917.hg.1,TC12000512.hg.1,TC12002390.hg.1,TC07000905.hg.1
NA	CNKSR2	TC0X000097.hg.1
NA	PSMB9	TC6_mcf_hap5000202.hg.1,TC6_qbl_hap6000215.hg.1,TC6_dbb_hap3000226.hg.1,TC6_ssto_hap7000193.hg.1,TC6_mann_hap4000190.hg.1,TC6_cox_hap2000259.hg.1,TC6_apd_hap1000122.hg.1,TC06004082.hg.1
NA	MIR124-3	TC20000507.hg.1
NA	MIR27B	TC09000467.hg.1
NA	REG1A	TC02000488.hg.1
NA	GRK5	TC10000865.hg.1
NA	RPTOR	TC17000921.hg.1
NA	GAL	TC11000709.hg.1
NA	PVT1	TC08000750.hg.1,TC08002099.hg.1
NA	RACK1	
NA	ADRBK2	TC22001043.hg.1,TC22000165.hg.1
NA	PMAIP1	TC18000741.hg.1,TC18000213.hg.1
NA	MYOD1	TC11000232.hg.1
NA	SEMA3A	TC07001568.hg.1
NA	E2F5	TC08000529.hg.1
NA	SPATA13	TC13000961.hg.1,TC13000051.hg.1
NA	CST3	TC20000715.hg.1
NA	JUNB	TC19000228.hg.1,TC19001995.hg.1
NA	LMNA	TC01001313.hg.1
NA	STIM1	TC11000088.hg.1,TC11002533.hg.1
NA	CSNK1E	TC22001493.hg.1
NA	HSPA8	TC11002390.hg.1
NA	PCNX2	
NA	PROK1	TC01000966.hg.1
NA	BUB3	TC10000900.hg.1
NA	FAM84B	TC08001623.hg.1
NA	RRAS	TC19001721.hg.1
NA	GUSB	TC07001457.hg.1
NA	KCNQ1OT1	TC11003006.hg.1,TC11001282.hg.1
NA	MIR106B	TC07001657.hg.1
NA	UBE2I	TC16000039.hg.1
NA	GPX4	TC19000030.hg.1
NA	CENPF	TC01001791.hg.1
